probability_effect,probability_exceedance,type,time
17.7,0.3,Risk curve,0 days
17.8,0.3,Risk curve,0 days
17.9,0.3,Risk curve,0 days
18,0.3,Risk curve,0 days
18.1,0.3,Risk curve,0 days
18.2,0.3,Risk curve,0 days
18.3,0.2,Risk curve,0 days
18.4,0.2,Risk curve,0 days
18.5,0.2,Risk curve,0 days
18.6,0.2,Risk curve,0 days
18.7,0.2,Risk curve,0 days
18.8,0.2,Risk curve,0 days
18.9,0.2,Risk curve,0 days
19,0.2,Risk curve,0 days
19.1,0.2,Risk curve,0 days
19.2,0.2,Risk curve,0 days
19.3,0.2,Risk curve,0 days
19.4,0.2,Risk curve,0 days
19.5,0.2,Risk curve,0 days
19.6,0.2,Risk curve,0 days
19.7,0.2,Risk curve,0 days
19.8,0.2,Risk curve,0 days
19.9,0.2,Risk curve,0 days
20,0.2,Risk curve,0 days
20.1,0.1,Risk curve,0 days
20.2,0.1,Risk curve,0 days
20.3,0.1,Risk curve,0 days
20.4,0.1,Risk curve,0 days
20.5,0.1,Risk curve,0 days
20.6,0.1,Risk curve,0 days
20.7,0.1,Risk curve,0 days
20.8,0.1,Risk curve,0 days
20.9,0.1,Risk curve,0 days
21,0.1,Risk curve,0 days
21.1,0.1,Risk curve,0 days
21.2,0.1,Risk curve,0 days
21.3,0.1,Risk curve,0 days
21.4,0.1,Risk curve,0 days
21.5,0.1,Risk curve,0 days
21.6,0.1,Risk curve,0 days
21.7,0.1,Risk curve,0 days
21.8,0.1,Risk curve,0 days
21.9,0.1,Risk curve,0 days
22,0.1,Risk curve,0 days
22.1,0.1,Risk curve,0 days
22.2,0.1,Risk curve,0 days
22.3,0.1,Risk curve,0 days
22.4,0.1,Risk curve,0 days
22.5,0.1,Risk curve,0 days
22.6,0.1,Risk curve,0 days
22.7,0.1,Risk curve,0 days
22.8,0.1,Risk curve,0 days
22.9,0.1,Risk curve,0 days
23,0.1,Risk curve,0 days
23.1,0.1,Risk curve,0 days
23.2,0.1,Risk curve,0 days
23.3,0.1,Risk curve,0 days
23.4,0.1,Risk curve,0 days
23.5,0.1,Risk curve,0 days
23.6,0.1,Risk curve,0 days
23.7,0.1,Risk curve,0 days
23.8,0.1,Risk curve,0 days
23.9,0.1,Risk curve,0 days
24,0.1,Risk curve,0 days
24.1,0.1,Risk curve,0 days
24.2,0.1,Risk curve,0 days
24.3,0,Risk curve,0 days
24.4,0,Risk curve,0 days
24.5,0,Risk curve,0 days
24.6,0,Risk curve,0 days
24.7,0,Risk curve,0 days
24.8,0,Risk curve,0 days
24.9,0,Risk curve,0 days
25,0,Risk curve,0 days
25.1,0,Risk curve,0 days
25.2,0,Risk curve,0 days
25.3,0,Risk curve,0 days
25.4,0,Risk curve,0 days
25.5,0,Risk curve,0 days
25.6,0,Risk curve,0 days
25.7,0,Risk curve,0 days
25.8,0,Risk curve,0 days
25.9,0,Risk curve,0 days
26,0,Risk curve,0 days
26.1,0,Risk curve,0 days
26.2,0,Risk curve,0 days
26.3,0,Risk curve,0 days
26.4,0,Risk curve,0 days
26.5,0,Risk curve,0 days
26.6,0,Risk curve,0 days
26.7,0,Risk curve,0 days
26.8,0,Risk curve,0 days
26.9,0,Risk curve,0 days
27,0,Risk curve,0 days
27.1,0,Risk curve,0 days
27.2,0,Risk curve,0 days
27.3,0,Risk curve,0 days
27.4,0,Risk curve,0 days
27.5,0,Risk curve,0 days
27.6,0,Risk curve,0 days
27.7,0,Risk curve,0 days
27.8,0,Risk curve,0 days
27.9,0,Risk curve,0 days
28,0,Risk curve,0 days
28.1,0,Risk curve,0 days
28.2,0,Risk curve,0 days
28.3,0,Risk curve,0 days
28.4,0,Risk curve,0 days
28.5,0,Risk curve,0 days
28.6,0,Risk curve,0 days
28.7,0,Risk curve,0 days
28.8,0,Risk curve,0 days
28.9,0,Risk curve,0 days
29,0,Risk curve,0 days
29.1,0,Risk curve,0 days
29.2,0,Risk curve,0 days
29.3,0,Risk curve,0 days
29.4,0,Risk curve,0 days
29.5,0,Risk curve,0 days
29.6,0,Risk curve,0 days
29.7,0,Risk curve,0 days
29.8,0,Risk curve,0 days
29.9,0,Risk curve,0 days
30,0,Risk curve,0 days
30.1,0,Risk curve,0 days
30.2,0,Risk curve,0 days
30.3,0,Risk curve,0 days
30.4,0,Risk curve,0 days
30.5,0,Risk curve,0 days
30.6,0,Risk curve,0 days
30.7,0,Risk curve,0 days
30.8,0,Risk curve,0 days
30.9,0,Risk curve,0 days
31,0,Risk curve,0 days
31.1,0,Risk curve,0 days
31.2,0,Risk curve,0 days
31.3,0,Risk curve,0 days
31.4,0,Risk curve,0 days
31.5,0,Risk curve,0 days
31.6,0,Risk curve,0 days
31.7,0,Risk curve,0 days
31.8,0,Risk curve,0 days
31.9,0,Risk curve,0 days
32,0,Risk curve,0 days
32.1,0,Risk curve,0 days
32.2,0,Risk curve,0 days
32.3,0,Risk curve,0 days
32.4,0,Risk curve,0 days
32.5,0,Risk curve,0 days
32.6,0,Risk curve,0 days
32.7,0,Risk curve,0 days
32.8,0,Risk curve,0 days
32.9,0,Risk curve,0 days
33,0,Risk curve,0 days
33.1,0,Risk curve,0 days
33.2,0,Risk curve,0 days
33.3,0,Risk curve,0 days
33.4,0,Risk curve,0 days
33.5,0,Risk curve,0 days
33.6,0,Risk curve,0 days
33.7,0,Risk curve,0 days
33.8,0,Risk curve,0 days
33.9,0,Risk curve,0 days
34,0,Risk curve,0 days
34.1,0,Risk curve,0 days
34.2,0,Risk curve,0 days
34.3,0,Risk curve,0 days
34.4,0,Risk curve,0 days
34.5,0,Risk curve,0 days
34.6,0,Risk curve,0 days
34.7,0,Risk curve,0 days
34.8,0,Risk curve,0 days
34.9,0,Risk curve,0 days
35,0,Risk curve,0 days
35.1,0,Risk curve,0 days
35.2,0,Risk curve,0 days
35.3,0,Risk curve,0 days
35.4,0,Risk curve,0 days
35.5,0,Risk curve,0 days
35.6,0,Risk curve,0 days
35.7,0,Risk curve,0 days
35.8,0,Risk curve,0 days
35.9,0,Risk curve,0 days
36,0,Risk curve,0 days
36.1,0,Risk curve,0 days
36.2,0,Risk curve,0 days
36.3,0,Risk curve,0 days
36.4,0,Risk curve,0 days
36.5,0,Risk curve,0 days
36.6,0,Risk curve,0 days
36.7,0,Risk curve,0 days
36.8,0,Risk curve,0 days
36.9,0,Risk curve,0 days
37,0,Risk curve,0 days
37.1,0,Risk curve,0 days
37.2,0,Risk curve,0 days
37.3,0,Risk curve,0 days
37.4,0,Risk curve,0 days
37.5,0,Risk curve,0 days
37.6,0,Risk curve,0 days
37.7,0,Risk curve,0 days
37.8,0,Risk curve,0 days
37.9,0,Risk curve,0 days
38,0,Risk curve,0 days
38.1,0,Risk curve,0 days
38.2,0,Risk curve,0 days
38.3,0,Risk curve,0 days
38.4,0,Risk curve,0 days
38.5,0,Risk curve,0 days
38.6,0,Risk curve,0 days
38.7,0,Risk curve,0 days
38.8,0,Risk curve,0 days
38.9,0,Risk curve,0 days
39,0,Risk curve,0 days
39.1,0,Risk curve,0 days
39.2,0,Risk curve,0 days
39.3,0,Risk curve,0 days
39.4,0,Risk curve,0 days
39.5,0,Risk curve,0 days
39.6,0,Risk curve,0 days
39.7,0,Risk curve,0 days
39.8,0,Risk curve,0 days
39.9,0,Risk curve,0 days
40,0,Risk curve,0 days
40.1,0,Risk curve,0 days
40.2,0,Risk curve,0 days
40.3,0,Risk curve,0 days
40.4,0,Risk curve,0 days
40.5,0,Risk curve,0 days
40.6,0,Risk curve,0 days
40.7,0,Risk curve,0 days
40.8,0,Risk curve,0 days
40.9,0,Risk curve,0 days
41,0,Risk curve,0 days
41.1,0,Risk curve,0 days
41.2,0,Risk curve,0 days
41.3,0,Risk curve,0 days
